# profile	toolbox	version	source_dir	sdk_family	cores	ti_targets	prebuilt	projects	config_profiles	suitability	status	summary
iwr6843aop-3d-people-tracking	radar_toolbox	4.00.00.05	source/ti/examples/Industrial_and_Personal_Electronics/People_Tracking/3D_People_Tracking	SDK3	MSS+DSS	IWR6843AOP,IWR6843ISK,IWR6843ODS	prebuilt_binaries/3D_people_track_6843_demo.bin	src/6843/3D_people_track_6843_mss.projectspec,src/6843/3D_people_track_6843_dss.projectspec	chirp_configs/AOP_6m_default.cfg,chirp_configs/AOP_6m_staticRetention.cfg,chirp_configs/AOP_9m_default.cfg,chirp_configs/AOP_9m_sensitive.cfg	starter-application	analysis-only	6843AOP people tracking application demo with MSS+DSS projects and AOP configs
iwr6843aop-3d-people-tracking-low-power	radar_toolbox	4.00.00.05	source/ti/examples/Industrial_and_Personal_Electronics/People_Tracking/3D_People_Tracking_Low_Power	SDK3	MSS+DSS	IWR6843AOP,IWR6843ISK,IWR6843ODS	prebuilt_binaries/3D_people_track_6843_demo.bin	src/6843/3D_people_track_6843_mss_lp.projectspec,src/6843/3D_people_track_6843_dss_lp.projectspec	chirp_configs/IWR6843AOP_7m_staticRetention_lp.cfg	starter-application	analysis-only	Low-power 6843 people tracking variant with dedicated IWR6843AOP config
iwr6843aop-area-scanner	radar_toolbox	4.00.00.05	source/ti/examples/Industrial_and_Personal_Electronics/Area_Scanner	SDK3	MSS+DSS	IWR6843AOP,IWR6843ISK,IWR6843ODS	prebuilt_binaries/area_scanner_68xx_demo_aop.bin	src/6843/area_scanner_6843_mss.projectspec,src/6843/area_scanner_6843_dss.projectspec	chirp_configs/area_scanner_68xx_AOP.cfg,chirp_configs/area_scanner_68xx_AOP_full_power_full_bandwidth.cfg,chirp_configs/area_scanner_68xx_AOP_full_power_low_bandwidth.cfg,chirp_configs/area_scanner_68xx_AOP_low_power_full_bandwidth.cfg	starter-application	analysis-only	6843AOP area scanner application demo with AOP prebuilt image and configs
iwr6843aop-automated-doors	radar_toolbox	4.00.00.05	source/ti/examples/Industrial_and_Personal_Electronics/Automated_Doors_And_Gates	SDK3	MSS+DSS	IWR6843AOP,IWR6843ISK,IWR6843ODS	prebuilt_binaries/automated_doors_68xx_demo_aop.bin	src/6843/automated_doors_6843_mss.projectspec,src/6843/automated_doors_6843_dss.projectspec	chirp_configs/profile_3d_automated_doors_AOP.cfg	starter-application	analysis-only	6843AOP automated doors and gates demo with MSS+DSS projects
iwr6843aop-overhead-3d-people-tracking	radar_toolbox	4.00.00.05	source/ti/examples/Industrial_and_Personal_Electronics/People_Tracking/Overhead_3D_People_Tracking	SDK3	MSS+DSS	IWR6843AOP,IWR6843ODS	prebuilt_binaries/default/overhead_3d_people_track_demo_default.bin	src/6843/overhead_3d_people_track_6843_mss.projectspec,src/6843/overhead_3d_people_track_6843_dss.projectspec	chirp_configs/pt_6843_3d_aop_overhead_3m_radial.cfg,chirp_configs/pt_6843_3d_aop_overhead_3m_radial_low_bw.cfg,chirp_configs/pt_6843_3d_aop_overhead_3m_radial_staticRetention.cfg	starter-application	analysis-only	6843AOP overhead people tracking application demo with MSS+DSS projects
