# profile	board	core_mode	source_kind	source_rel	sdk_device_type	sdk_device	output_artifact	cores	build_entry_kind	build_entry	clean_target	make_vars	config_profiles	status	summary
xwr1843boost-mss-only	xwr1843boost	mss-only	sdk-make	ti/demo/xwr18xx/mmw	xwr18xx	iwr18xx	xwr18xx_mmw_demo.bin	MSS	make-target	mssDemo	clean	-	profile_2d.cfg,profile_3d.cfg	validated	xWR1843BOOST MSS-only OOB fork from TI SDK xwr18xx demo
xwr1843boost-mss-dss	xwr1843boost	mss-dss	sdk-make	ti/demo/xwr18xx/mmw	xwr18xx	iwr18xx	xwr18xx_mmw_demo.bin	MSS+DSS	make-target	mmwDemo	clean	-	profile_2d.cfg,profile_3d.cfg	validated	xWR1843BOOST MSS+DSS OOB fork from TI SDK xwr18xx demo
xwr6843isk-mss-only	xwr6843isk	mss-only	sdk-make	ti/demo/xwr68xx/mmw	xwr68xx	iwr68xx	xwr68xx_mmw_demo.bin	MSS	make-target	mssDemo	clean	-	profile_2d.cfg,profile_3d.cfg	validated	xWR6843ISK MSS-only OOB fork from TI SDK xwr68xx demo
xwr6843isk-mss-dss	xwr6843isk	mss-dss	sdk-make	ti/demo/xwr68xx/mmw	xwr68xx	iwr68xx	xwr68xx_mmw_demo.bin	MSS+DSS	make-target	all	clean	-	profile_2d.cfg,profile_3d.cfg	validated	xWR6843ISK MSS+DSS OOB fork from TI SDK xwr68xx demo
xwr6843aop-mss-only	xwr6843aop	mss-only	sdk-make	ti/demo/xwr64xx/mmw	xwr68xx	iwr68xx	xwr64xxAOP_mmw_demo.bin	MSS	make-target	all	clean	-	profile_3d_aop.cfg	validated	xWR6843AOP MSS-only OOB fork from TI SDK xwr64xx demo
xwr6843aop-mss-dss	xwr6843aop	mss-dss	toolbox-make	source/ti/examples/Industrial_and_Personal_Electronics/People_Tracking/3D_People_Tracking	xwr68xx	iwr68xx	3D_people_track_6843_demo.bin	MSS+DSS	make-target	all	clean	-	AOP_6m_default.cfg,AOP_9m_default.cfg	validated	xWR6843AOP MSS+DSS 3D People Tracking fork from TI Radar Toolbox
